Amargadhi,Dadeldhura
Baglung,Baglung
Banepa,Kavrepalanchok
Bhadrapur,Jhapa
Bhaktapur,Bhaktapur
Bharatpur,Chitawan
Bhimdatta,Kanchanpur
Bhimeshwor,Dolakha
Bidur,Nuwakot
Biratnagar,Morang
Birendranagar,Surkhet
Birgunj,Parsa
Butwal,Rupandehi
Byas,Tanahu
Damak,Jhapa
Dasharathchand,Baitadi
Dhangadhi,Kailali
Dhankuta,Dhankuta
Dharan,Sunsari
Dhulikhel,Kavrepalanchok
Dipayal,Doti
Gaur,Rautahat
Ghorahi,Dang
Gorkha,Gorkha
Gulariya,Bardiya
Hetauda,Makwanpur
Illam,Ilam
Inaruwa,Sunsari
Itahari,Sunsari
Jaleshwor,Mahottari
Janakpur,Dhanusa
Kalaiya,Bara
Kamalamai,Sindhuli
Kapilbastu,Kapilbastu
Kathmandu,Kathmandu
Khandabari,Sankhuwasabha
Kirtipur,Kathmandu
Lahan,Siraha
Lalitpur,Lalitpur
Lekhnath,Kaski
Madhyapur,Bhaktapur
Malangawa,Sarlahi
Mechinagar,Jhapa
Narayan,Dailekh
Nepalganj,Banke
Panauti,Kavrepalanchok
Pokhara,Kaski
Putalibazar,Syangja
Rajbiraj,Saptari
Ramgram,Nawalparasi (Bardaghat Susta West)
Ratnanagar,Chitawan
Siddharthanagar,Rupandehi
Siraha,Siraha
Tansen,Palpa
Tikapur,Kailali
Triyuga,Udayapur
Tulsipur,Dang
Walling,Syangja
Aanbu Khaireni,Tanahu
Api,Darchula
Atariya,Kailali
Banganga,Kapilbastu
Badimalika,Bajura
Bagachour,Salyan
Bandipur,Tanahu
Bansgadhi,Bardiya
Bardibas,Mahottari
Belouri,Kanchanpur
Belbari,Morang
Beni,Myagdi
Bensishahar,Lamjung
Bhajani,Kailali
Bheriganga,Surkhet
Bhojpur,Bhojpur
Birtamod,Jhapa
Chandrapur,Rautahat
Choutara,Sindhupalchok
Devdaha,Rupandehi
Duhabi,Sunsari
Dullu,Dailekh
Gaidakot,Nawalparasi (Bardaghat Susta East)
Ganeshman,Dhanusa
Ghodaghodi,Kailali
Golbazar,Siraha
Ishworpur,Sarlahi
Jayaprithbi,Bajhang
Kamal bazar,Achham
Kanchanrup,Saptari
Kankai,Jhapa
Katari,Udayapur
Kolhabi,Bara
Kushma,Parbat
Lamahi,Dang
Lamki Chuha,Kailali
Liwang,Rolpa
Madhya Bindu,Nawalparasi (Bardaghat Susta East)
Mangalsen,Achham
Manthali,Ramechhap
Mirchaiya,Siraha
Musikot,Rukum (West)
Nijagadh,Bara
Pakhribas,Dhankuta
Palungtar,Gorkha
Parashuram,Dadeldhura
Patan,Baitadi
Pyuthan,Pyuthan
Rajapur,Bardiya
Ramechhap,Ramechhap
Rangeli,Morang
Rapti,Chitawan
Resunga,Gulmi
Sainamaina,Rupandehi
Sanoshree,Bardiya
Sanphebagar,Achham
Shani,Jhapa
Sharada,Salyan
Shivaraj,Kapilbastu
Suvaghat,Surkhet
